audio_file,transcription,duration,speech_rate,mean_pitch,pause_count,articulation_rate
audio/281474976879627_f1171_chunk_0.wav,Is Gaia Green Tea avaliable for delivery in 2 hours?,4.516375,0.22141646311113158,181.4489136837804,1,16000.0
audio/281474976879629_f1172_chunk_0.wav,You are 2 hours late than the delivery time for my products Dettol Shaving Cream and Good knight Activ+ Low Smoke Mosquito Coil,10.16075,0.098417922061076,154.84920895184544,1,16000.0
audio/281474976879631_f1173_chunk_0.wav,Stop processing the payment for Jabong,3.230875,0.30951358083689995,222.0066421422458,1,16000.0
audio/281474976883724_f2612_chunk_0.wav,"Capsaicin is what makes chili peppers spicy, and might explain why workers in factories with these fruits can develop a cough.",8.022125,0.2493104695687901,158.32711735402867,2,15999.999999999998
audio/281474976883725_f859_chunk_0.wav,"Before venturing into cinema, she modelled for regional television commercials in her home state of Punjab.",6.4780625,0.15436711912441117,153.41194170489888,1,16000.0
audio/281474976883726_f704_chunk_0.wav,I pray that henceforth I may follow thy path.,2.794375,0.357861647824058,160.5847270495233,1,16000.0
audio/281474976883728_f1099_chunk_0.wav,what music do i usually listen to,2.381375,0.419925286892956,159.32309559484125,1,16000.000000000002
audio/281474976883730_f2613_chunk_0.wav,it's time for junk food,1.2210625,0.8189582278071534,155.09699648757663,1,16000.0
audio/281474976883732_f1101_chunk_0.wav,what time is it in dubai,1.2666875,0.7894600764118409,164.4630142696184,1,16000.0
audio/281474976883734_f3093_chunk_0.wav,What is the status of my order of Fendo Two Fold Umbrella,3.779875,0.2645589432034278,161.756556710357,1,16000.0
audio/281474976883735_f1100_chunk_0.wav,What is the price of Anveshan Dry Fruit Paak after the discount?,4.4411875,0.2251649530300279,166.70692842873547,1,16000.0
audio/281474976883736_f2614_chunk_0.wav,"What is the status of my order with items GoodDiet Cold Pressed Coconut Oil , Fresho Signature Dry Fruit Munchies , Charvik Dry Fruit Ladoo",10.3534375,0.4829313469143609,163.1040071331895,5,16000.0
audio/281474976883737_f1102_chunk_0.wav,What are the items in Bouquets with the offer of minimum 80 % off ?,4.326,0.23116037190005273,166.90853743485127,1,16000.000000000002
